dataset,match_id,slug,source_url,start_date,team1,team2,map_number,map_name,status,winner,loser,winner_score,loser_score,rounds_count,begin_at,veto_sequence,veto_source_note
blast_austin_major_2025,88558,betboom-team-vs-wildcard-gaming-05-06-2025,https://bo3.gg/matches/betboom-team-vs-wildcard-gaming-05-06-2025,2025-06-05T18:50:00.000+00:00,BetBoom,Wildcard,2,de_anubis,finished,BetBoom,Wildcard,16,14,30,2025-06-05T20:24:59.000+00:00,Wildcard remove Mirage | BetBoom remove Inferno | Wildcard pick Nuke | BetBoom pick Anubis | BetBoom remove Ancient | Wildcard remove Dust2 | Train left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,88557,flyquest-vs-nemiga-05-06-2025,https://bo3.gg/matches/flyquest-vs-nemiga-05-06-2025,2025-06-05T21:00:00.000+00:00,FlyQuest,Nemiga,1,de_ancient,finished,Nemiga,Flyquest,13,9,22,2025-06-05T21:04:31.000+00:00,Nemiga remove Nuke | FlyQuest remove Train | Nemiga pick Ancient | FlyQuest pick Inferno | FlyQuest remove Dust2 | Nemiga remove Mirage | Anubis left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,88557,flyquest-vs-nemiga-05-06-2025,https://bo3.gg/matches/flyquest-vs-nemiga-05-06-2025,2025-06-05T21:00:00.000+00:00,FlyQuest,Nemiga,2,de_inferno,finished,Nemiga,Flyquest,13,11,24,2025-06-05T22:13:17.000+00:00,Nemiga remove Nuke | FlyQuest remove Train | Nemiga pick Ancient | FlyQuest pick Inferno | FlyQuest remove Dust2 | Nemiga remove Mirage | Anubis left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,88559,nrg-vs-lynn-vision-06-06-2025,https://bo3.gg/matches/nrg-vs-lynn-vision-06-06-2025,2025-06-06T15:00:00.000+00:00,NRG,Lynn Vision,1,de_dust2,finished,Lynn Vision,NRG,22,20,42,2025-06-06T15:01:43.000+00:00,Lynn Vision remove Mirage | NRG remove Ancient | Lynn Vision pick Dust2 | NRG pick Inferno | NRG remove Nuke | Lynn Vision remove Train | Anubis left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,88559,nrg-vs-lynn-vision-06-06-2025,https://bo3.gg/matches/nrg-vs-lynn-vision-06-06-2025,2025-06-06T15:00:00.000+00:00,NRG,Lynn Vision,2,de_inferno,finished,Lynn Vision,NRG,13,8,21,2025-06-06T16:51:07.000+00:00,Lynn Vision remove Mirage | NRG remove Ancient | Lynn Vision pick Dust2 | NRG pick Inferno | NRG remove Nuke | Lynn Vision remove Train | Anubis left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,88560,wildcard-gaming-vs-legacy-br-06-06-2025,https://bo3.gg/matches/wildcard-gaming-vs-legacy-br-06-06-2025,2025-06-06T18:05:00.000+00:00,Wildcard,Legacy,1,de_inferno,finished,Legacy,Wildcard,13,10,23,2025-06-06T18:06:44.000+00:00,Legacy remove Train | Wildcard remove Mirage | Legacy pick Inferno | Wildcard pick Nuke | Wildcard remove Dust2 | Legacy remove Anubis | Ancient left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,88560,wildcard-gaming-vs-legacy-br-06-06-2025,https://bo3.gg/matches/wildcard-gaming-vs-legacy-br-06-06-2025,2025-06-06T18:05:00.000+00:00,Wildcard,Legacy,2,de_nuke,finished,Legacy,Wildcard,13,6,19,2025-06-06T19:13:53.000+00:00,Legacy remove Train | Wildcard remove Mirage | Legacy pick Inferno | Wildcard pick Nuke | Wildcard remove Dust2 | Legacy remove Anubis | Ancient left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,88561,flyquest-vs-tyloo-cs-go-06-06-2025,https://bo3.gg/matches/flyquest-vs-tyloo-cs-go-06-06-2025,2025-06-06T20:20:00.000+00:00,FlyQuest,TYLOO,1,de_inferno,finished,Flyquest,Tyloo,13,10,23,2025-06-06T20:21:34.000+00:00,TYLOO remove Dust2 | FlyQuest remove Train | TYLOO pick Inferno | FlyQuest pick Mirage | FlyQuest remove Ancient | TYLOO remove Nuke | Anubis left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,88561,flyquest-vs-tyloo-cs-go-06-06-2025,https://bo3.gg/matches/flyquest-vs-tyloo-cs-go-06-06-2025,2025-06-06T20:20:00.000+00:00,FlyQuest,TYLOO,2,de_mirage,finished,Tyloo,Flyquest,13,3,16,2025-06-06T21:30:48.000+00:00,TYLOO remove Dust2 | FlyQuest remove Train | TYLOO pick Inferno | FlyQuest pick Mirage | FlyQuest remove Ancient | TYLOO remove Nuke | Anubis left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,88561,flyquest-vs-tyloo-cs-go-06-06-2025,https://bo3.gg/matches/flyquest-vs-tyloo-cs-go-06-06-2025,2025-06-06T20:20:00.000+00:00,FlyQuest,TYLOO,3,de_anubis,finished,Tyloo,Flyquest,13,3,16,2025-06-06T22:19:31.000+00:00,TYLOO remove Dust2 | FlyQuest remove Train | TYLOO pick Inferno | FlyQuest pick Mirage | FlyQuest remove Ancient | TYLOO remove Nuke | Anubis left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,89006,faze-vs-heroic-07-06-2025,https://bo3.gg/matches/faze-vs-heroic-07-06-2025,2025-06-07T15:00:00.000+00:00,FaZe,HEROIC,1,de_dust2,finished,FaZe Clan,HEROIC,13,3,16,2025-06-07T15:02:09.000+00:00,HEROIC remove Inferno | HEROIC remove Nuke | FaZe remove Train | FaZe remove Mirage | FaZe remove Ancient | HEROIC remove Anubis | Dust2 left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,89007,falcons-esports-vs-b8-07-06-2025,https://bo3.gg/matches/falcons-esports-vs-b8-07-06-2025,2025-06-07T15:00:00.000+00:00,Falcons,B8,1,de_ancient,finished,B8,Falcons,13,8,21,2025-06-07T15:02:07.000+00:00,B8 remove Nuke | B8 remove Dust2 | Falcons remove Anubis | Falcons remove Mirage | Falcons remove Inferno | B8 remove Train | Ancient left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,89009,virtus-pro-vs-og-07-06-2025,https://bo3.gg/matches/virtus-pro-vs-og-07-06-2025,2025-06-07T15:50:00.000+00:00,Virtus.pro,OG,1,de_inferno,finished,Virtus!Pro,OG,13,2,15,2025-06-07T15:50:15.000+00:00,OG remove Train | OG remove Dust2 | Virtus.pro remove Nuke | Virtus.pro remove Ancient | Virtus.pro remove Anubis | OG remove Mirage | Inferno left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,89008,3dmax-vs-betboom-team-07-06-2025,https://bo3.gg/matches/3dmax-vs-betboom-team-07-06-2025,2025-06-07T16:09:23.000+00:00,3DMAX,BetBoom,1,de_anubis,finished,3DMAX,BetBoom,13,4,17,2025-06-07T16:09:23.000+00:00,BetBoom remove Inferno | BetBoom remove Dust2 | 3DMAX remove Mirage | 3DMAX remove Nuke | 3DMAX remove Ancient | BetBoom remove Train | Anubis left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,89010,furia-vs-lynn-vision-07-06-2025,https://bo3.gg/matches/furia-vs-lynn-vision-07-06-2025,2025-06-07T16:35:00.000+00:00,FURIA,Lynn Vision,1,de_nuke,finished,FURIA,Lynn Vision,13,4,17,2025-06-07T16:38:31.000+00:00,Lynn Vision remove Mirage | Lynn Vision remove Train | FURIA remove Ancient | FURIA remove Dust2 | FURIA remove Anubis | Lynn Vision remove Inferno | Nuke left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
