team,map,win_rate,maps_played,pick_rate,ban_rate,pistol_win_rate,first_kill_round_win_rate,first_death_round_win_rate,source
Fluxo,Anubis,38.63,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Fluxo,Inferno,37.36,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Fluxo,Nuke,38.87,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FlyQuest,Ancient,52.07,3,0.00,30.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FlyQuest,Anubis,79.43,4,60.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FlyQuest,Dust2,54.89,5,26.67,6.67,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FlyQuest,Inferno,61.02,1,6.67,6.67,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FlyQuest,Mirage,43.89,3,0.00,13.33,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FlyQuest,Nuke,41.44,4,6.67,10.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
G2,Ancient,62.90,5,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
G2,Anubis,44.66,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
G2,Dust2,70.03,4,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
G2,Inferno,55.90,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
G2,Mirage,53.94,6,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
G2,Overpass,57.81,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Gaimin Gladiators,Ancient,56.58,7,10.00,4.08,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Gaimin Gladiators,Anubis,43.19,1,0.00,28.57,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Gaimin Gladiators,Dust2,54.90,10,65.00,2.04,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Gaimin Gladiators,Inferno,42.30,4,5.00,14.29,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Gaimin Gladiators,Mirage,43.35,1,0.00,38.78,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Gaimin Gladiators,Nuke,36.51,10,5.00,8.16,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Gaimin Gladiators,Overpass,55.94,3,15.00,4.08,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Galorys,Ancient,61.82,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Galorys,Mirage,38.94,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Galorys,Nuke,40.45,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Galorys,Overpass,35.94,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
GamerLegion,Ancient,70.72,8,3.70,8.70,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
GamerLegion,Anubis,45.32,4,0.00,26.09,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
GamerLegion,Dust2,40.61,3,0.00,40.58,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
GamerLegion,Inferno,68.11,14,37.04,2.90,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
GamerLegion,Mirage,63.28,17,44.44,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
GamerLegion,Nuke,63.24,11,7.41,10.14,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
GamerLegion,Overpass,53.11,6,7.41,11.59,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
