team,map,win_rate,maps_played,pick_rate,ban_rate,pistol_win_rate,first_kill_round_win_rate,first_death_round_win_rate,source
Gentle Mates,Inferno,64.68,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Gentle Mates,Mirage,65.47,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Gentle Mates,Nuke,8.85,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Gentle Mates,Overpass,89.54,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
HEROIC,Ancient,43.05,7,0.00,21.13,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
HEROIC,Dust2,70.38,17,21.21,2.82,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
HEROIC,Inferno,46.50,13,12.12,4.23,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
HEROIC,Mirage,33.07,12,18.18,9.86,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
HEROIC,Nuke,70.95,14,45.45,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
HEROIC,Overpass,51.20,6,3.03,15.49,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
HOTU,Ancient,7.25,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
HOTU,Anubis,91.94,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
HOTU,Dust2,47.60,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
HOTU,Mirage,10.46,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
HOTU,Nuke,11.26,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
HOTU,Overpass,6.46,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
INFINITE,Dust2,10.46,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
INFINITE,Inferno,5.00,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Imperial,Inferno,8.86,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Imperial,Mirage,33.20,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Imperial,Nuke,7.26,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Inner Circle,Ancient,47.60,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Inner Circle,Dust2,11.26,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Inner Circle,Mirage,27.73,4,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Inner Circle,Overpass,12.36,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
