team,map,win_rate,maps_played,pick_rate,ban_rate,pistol_win_rate,first_kill_round_win_rate,first_death_round_win_rate,source
Liquid,Anubis,48.09,3,4.00,13.85,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Liquid,Dust2,33.82,10,20.00,13.85,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Liquid,Inferno,59.65,9,4.00,12.31,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Liquid,Mirage,55.49,9,36.00,3.08,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Liquid,Nuke,36.45,10,16.00,4.62,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Lynn Vision,Ancient,34.31,1,4.76,2.33,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Lynn Vision,Anubis,39.12,1,0.00,20.93,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Lynn Vision,Dust2,65.87,4,71.43,4.65,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Lynn Vision,Inferno,42.95,3,9.52,6.98,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Lynn Vision,Nuke,49.13,2,9.52,9.30,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Lynn Vision,Overpass,37.82,1,4.76,9.30,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
M80,Ancient,32.29,6,12.00,12.31,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
M80,Anubis,50.21,6,12.00,7.69,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
M80,Dust2,60.11,9,0.00,12.31,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
M80,Inferno,58.23,12,40.00,3.08,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
M80,Mirage,57.22,11,28.00,4.62,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
M80,Overpass,53.68,7,8.00,13.85,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
